classname ; numberOfVersionsUntil: ; numberOfFixesUntil: ; numberOfRefactoringsUntil: ; numberOfAuthorsUntil: ; linesAddedUntil: ; maxLinesAddedUntil: ; avgLinesAddedUntil: ; linesRemovedUntil: ; maxLinesRemovedUntil: ; avgLinesRemovedUntil: ; codeChurnUntil: ; maxCodeChurnUntil: ; avgCodeChurnUntil: ; ageWithRespectTo: ; weightedAgeWithRespectTo: ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 65 ; 4 ; 0 ; 8 ; 608.0 ; 158.0 ; 9.35385 ; 566.0 ; 158.0 ; 8.70769 ; 42.0 ; 15.0 ; 0.646154 ; 350.571 ; 63.0609 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 2 ; 0 ; 0 ; 2 ; 10.0 ; 10.0 ; 5.0 ; 0.0 ; 0.0 ; 0.0 ; 10.0 ; 10.0 ; 5.0 ; 117.714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 120 ; 10 ; 0 ; 12 ; 1361.0 ; 99.0 ; 11.3417 ; 768.0 ; 77.0 ; 6.4 ; 593.0 ; 66.0 ; 4.94167 ; 238.429 ; 104.204 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 28 ; 4 ; 0 ; 5 ; 138.0 ; 39.0 ; 4.92857 ; 123.0 ; 39.0 ; 4.39286 ; 15.0 ; 23.0 ; 0.535714 ; 367.0 ; 112.678 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 93 ; 17 ; 0 ; 8 ; 1870.0 ; 684.0 ; 20.1075 ; 1881.0 ; 692.0 ; 20.2258 ; -11.0 ; 18.0 ; -0.11828 ; 367.0 ; 54.9702 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 16 ; 5 ; 0 ; 5 ; 37.0 ; 6.0 ; 2.3125 ; 17.0 ; 6.0 ; 1.0625 ; 20.0 ; 4.0 ; 1.25 ; 264.857 ; 48.8224 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 30 ; 5 ; 0 ; 5 ; 535.0 ; 142.0 ; 17.8333 ; 74.0 ; 13.0 ; 2.46667 ; 461.0 ; 142.0 ; 15.3667 ; 226.0 ; 3.2259 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 7 ; 6 ; 0 ; 2 ; 14.0 ; 7.0 ; 2.0 ; 29.0 ; 27.0 ; 4.14286 ; -15.0 ; 4.0 ; -2.14286 ; 150.714 ; 12.1531 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 52 ; 5 ; 0 ; 7 ; 1075.0 ; 343.0 ; 20.6731 ; 889.0 ; 343.0 ; 17.0962 ; 186.0 ; 68.0 ; 3.57692 ; 367.0 ; 81.1875 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 23 ; 5 ; 0 ; 6 ; 122.0 ; 42.0 ; 5.30435 ; 138.0 ; 42.0 ; 6.0 ; -16.0 ; 16.0 ; -0.695652 ; 367.0 ; 84.4309 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
