classname ; numberOfVersionsUntil: ; numberOfFixesUntil: ; numberOfRefactoringsUntil: ; numberOfAuthorsUntil: ; linesAddedUntil: ; maxLinesAddedUntil: ; avgLinesAddedUntil: ; linesRemovedUntil: ; maxLinesRemovedUntil: ; avgLinesRemovedUntil: ; codeChurnUntil: ; maxCodeChurnUntil: ; avgCodeChurnUntil: ; ageWithRespectTo: ; weightedAgeWithRespectTo: ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 12 ; 1 ; 0 ; 6 ; 12 ; 1 ; 1.0 ; 12 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 244.714 ; 95.4643 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 49 ; 9 ; 1 ; 3 ; 2311.0 ; 644.0 ; 47.1633 ; 3683.0 ; 2030.0 ; 75.1633 ; -1372.0 ; 218.0 ; -28.0 ; 66.0 ; 35.1323 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 32 ; 4 ; 0 ; 10 ; 424.0 ; 58.0 ; 13.25 ; 238.0 ; 51.0 ; 7.4375 ; 186.0 ; 51.0 ; 5.8125 ; 368.143 ; 168.949 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 2 ; 0 ; 0 ; 2 ; 2.0 ; 1.0 ; 1.0 ; 2.0 ; 1.0 ; 1.0 ; 0.0 ; 0.0 ; 0.0 ; 23.1429 ; 8.07143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 2 ; 1 ; 0 ; 1 ; 2 ; 1 ; 1.0 ; 2 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 325.857 ; 39.7857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 24 ; 4 ; 0 ; 9 ; 999.0 ; 468.0 ; 41.625 ; 251.0 ; 69.0 ; 10.4583 ; 748.0 ; 420.0 ; 31.1667 ; 368.143 ; 314.776 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 7 ; 0 ; 0 ; 4 ; 30.0 ; 20.0 ; 4.28571 ; 19.0 ; 9.0 ; 2.71429 ; 11.0 ; 11.0 ; 1.57143 ; 242.143 ; 32.4762 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 6.57143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 14 ; 2 ; 0 ; 7 ; 134.0 ; 36.0 ; 9.57143 ; 22.0 ; 5.0 ; 1.57143 ; 112.0 ; 33.0 ; 8.0 ; 242.143 ; 50.0437 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 6 ; 1 ; 0 ; 3 ; 349.0 ; 274.0 ; 58.1667 ; 283.0 ; 274.0 ; 47.1667 ; 66.0 ; 38.0 ; 11.0 ; 121.571 ; 103.953 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 10 ; 0 ; 0 ; 4 ; 422.0 ; 324.0 ; 42.2 ; 342.0 ; 324.0 ; 34.2 ; 80.0 ; 49.0 ; 8.0 ; 90.5714 ; 15.8812 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 62.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 5 ; 0 ; 0 ; 3 ; 5 ; 1 ; 1.0 ; 5 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 250.143 ; 13.9429 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::HitIterator ; 6 ; 1 ; 0 ; 4 ; 14.0 ; 6.0 ; 2.33333 ; 13.0 ; 6.0 ; 2.16667 ; 1.0 ; 2.0 ; 0.166667 ; 180.143 ; 57.3265 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::misc::HighFreqTerms ; 3 ; 1 ; 0 ; 2 ; 3 ; 1 ; 1.0 ; 3 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 307.429 ; 40.4286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FormatPostingsDocsConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::IndexSearcher ; 36 ; 4 ; 0 ; 11 ; 291.0 ; 39.0 ; 8.08333 ; 297.0 ; 51.0 ; 8.25 ; -6.0 ; 39.0 ; -0.166667 ; 368.143 ; 164.852 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::db::DbIndexOutput ; 2 ; 0 ; 0 ; 1 ; 2 ; 1 ; 1.0 ; 2 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 179.286 ; 15.2143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::TokenGroup ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 219.286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::MergeDocIDRemapper ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1.0 ; 1 ; 1 ; 1.0 ; 0 ; 0 ; 0.0 ; 30.8571 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask ; 3 ; 0 ; 0 ; 2 ; 76.0 ; 42.0 ; 25.3333 ; 45.0 ; 42.0 ; 15.0 ; 31.0 ; 31.0 ; 10.3333 ; 90.5714 ; 10.3929 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::PorterStemFilter ; 8 ; 1 ; 0 ; 5 ; 79.0 ; 26.0 ; 9.875 ; 119.0 ; 51.0 ; 14.875 ; -40.0 ; 1.0 ; -5.0 ; 368.143 ; 137.492 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::PhraseScorer ; 18 ; 3 ; 0 ; 8 ; 322.0 ; 120.0 ; 17.8889 ; 269.0 ; 82.0 ; 14.9444 ; 53.0 ; 38.0 ; 2.94444 ; 368.143 ; 125.349 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::WordlistLoader ; 9 ; 1 ; 0 ; 4 ; 83.0 ; 32.0 ; 9.22222 ; 72.0 ; 29.0 ; 8.0 ; 11.0 ; 32.0 ; 1.22222 ; 216.286 ; 70.0826 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::CharTokenizer ; 10 ; 0 ; 0 ; 6 ; 84.0 ; 27.0 ; 8.4 ; 107.0 ; 51.0 ; 10.7 ; -23.0 ; 9.0 ; -2.3 ; 349.857 ; 198.361 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask ; 4 ; 0 ; 0 ; 3 ; 52.0 ; 48.0 ; 13.0 ; 60.0 ; 48.0 ; 15.0 ; -8.0 ; 0.0 ; -2.0 ; 90.5714 ; 11.467 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
