classname ; numberOfVersionsUntil: ; numberOfFixesUntil: ; numberOfRefactoringsUntil: ; numberOfAuthorsUntil: ; linesAddedUntil: ; maxLinesAddedUntil: ; avgLinesAddedUntil: ; linesRemovedUntil: ; maxLinesRemovedUntil: ; avgLinesRemovedUntil: ; codeChurnUntil: ; maxCodeChurnUntil: ; avgCodeChurnUntil: ; ageWithRespectTo: ; weightedAgeWithRespectTo: ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 5 ; 0 ; 0 ; 2 ; 185.0 ; 95.0 ; 37.0 ; 24.0 ; 20.0 ; 4.8 ; 161.0 ; 95.0 ; 32.2 ; 59.5714 ; 0.96139 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 10 ; 1 ; 0 ; 7 ; 22.0 ; 10.0 ; 2.2 ; 12.0 ; 3.0 ; 1.2 ; 10.0 ; 10.0 ; 1.0 ; 335.286 ; 121.584 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 2 ; 0 ; 0 ; 2 ; 8.0 ; 8.0 ; 4.0 ; 15.0 ; 15.0 ; 7.5 ; -7.0 ; 0.0 ; -3.5 ; 103.429 ; 69.2857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 2 ; 0 ; 0 ; 2 ; 10.0 ; 10.0 ; 5.0 ; 18.0 ; 18.0 ; 9.0 ; -8.0 ; 0.0 ; -4.0 ; 92.2857 ; 58.1429 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 5 ; 0 ; 0 ; 3 ; 14.0 ; 6.0 ; 2.8 ; 11.0 ; 5.0 ; 2.2 ; 3.0 ; 2.0 ; 0.6 ; 183.857 ; 103.633 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 75 ; 0 ; 0 ; 5 ; 1019.0 ; 107.0 ; 13.5867 ; 1267.0 ; 559.0 ; 16.8933 ; -248.0 ; 104.0 ; -3.30667 ; 188.143 ; 16.434 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 410 ; 15 ; 7 ; 8 ; 2715.0 ; 81.0 ; 6.62195 ; 1242.0 ; 326.0 ; 3.02927 ; 1473.0 ; 81.0 ; 3.59268 ; 178.714 ; 68.0586 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 10 ; 0 ; 0 ; 5 ; 42.0 ; 17.0 ; 4.2 ; 38.0 ; 18.0 ; 3.8 ; 4.0 ; 3.0 ; 0.4 ; 240.714 ; 115.966 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 8 ; 1 ; 1 ; 3 ; 21.0 ; 10.0 ; 2.625 ; 20.0 ; 6.0 ; 2.5 ; 1.0 ; 10.0 ; 0.125 ; 150.429 ; 32.0612 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 5 ; 0 ; 0 ; 3 ; 12.0 ; 8.0 ; 2.4 ; 51.0 ; 46.0 ; 10.2 ; -39.0 ; 6.0 ; -7.8 ; 85.2857 ; 31.7857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 6 ; 0 ; 0 ; 3 ; 82.0 ; 50.0 ; 13.6667 ; 48.0 ; 42.0 ; 8.0 ; 34.0 ; 50.0 ; 5.66667 ; 113.286 ; 38.7613 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ; 8 ; 0 ; 0 ; 5 ; 107.0 ; 49.0 ; 13.375 ; 82.0 ; 63.0 ; 10.25 ; 25.0 ; 33.0 ; 3.125 ; 133.571 ; 87.9239 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ; 5 ; 0 ; 0 ; 3 ; 14.0 ; 8.0 ; 2.8 ; 10.0 ; 8.0 ; 2.0 ; 4.0 ; 8.0 ; 0.8 ; 102.0 ; 24.8776 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ; 9 ; 0 ; 0 ; 4 ; 79.0 ; 32.0 ; 8.77778 ; 53.0 ; 42.0 ; 5.88889 ; 26.0 ; 26.0 ; 2.88889 ; 144.286 ; 74.7306 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::product::ArgumentsInfo ; 7 ; 0 ; 0 ; 4 ; 314.0 ; 106.0 ; 44.8571 ; 131.0 ; 88.0 ; 18.7143 ; 183.0 ; 91.0 ; 26.1429 ; 186.714 ; 70.7525 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ; 6 ; 1 ; 0 ; 3 ; 94.0 ; 39.0 ; 15.6667 ; 7.0 ; 5.0 ; 1.16667 ; 87.0 ; 39.0 ; 14.5 ; 64.0 ; 7.75988 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::ui::internal::views::log::Messages ; 17 ; 1 ; 0 ; 1 ; 44.0 ; 9.0 ; 2.58824 ; 13.0 ; 7.0 ; 0.764706 ; 31.0 ; 8.0 ; 1.82353 ; 49.4286 ; 13.8409 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ; 45 ; 1 ; 1 ; 8 ; 986.0 ; 179.0 ; 21.9111 ; 735.0 ; 150.0 ; 16.3333 ; 251.0 ; 91.0 ; 5.57778 ; 222.0 ; 104.763 ; 3 ; 1 ; 0 ; 0 ; 0 ; 
