%%-*- text -*-
%
%  -- Topic: This is the defect prediction data for Eclipse 3.4 DEBUG, which
%            includes size, complexity, object-oriented metrics, and change metric data.
% 
%  -- Date:  June 2010

@relation  'eclipse34_Debug'

@attribute LOC numeric
@attribute AverageComplexity numeric
@attribute MaximumComplexity numeric
@attribute LCOM numeric
@attribute DIT numeric
@attribute IFANIN numeric
@attribute CBO numeric
@attribute NOC numeric
@attribute RFC numeric
@attribute NIM numeric
@attribute NIV numeric
@attribute NCM numeric
@attribute NCV numeric
@attribute WMC numeric
@attribute change_times numeric
@attribute plus numeric
@attribute minus numeric
@attribute defect_num numeric
@attribute isDefective {TRUE,FALSE}

@data

588,2,7,97,2,1,54,0,65,20,11,23,23,43,166,2210,3179,8,TRUE
21,1,1,0,0,0,6,1,19,19,0,0,0,19,36,496,521,2,TRUE
36,1,1,100,1,1,10,2,32,31,0,0,3,31,65,878,1150,3,TRUE
5,1,1,0,0,0,1,4,3,3,0,0,0,3,9,17,27,2,TRUE
55,3,5,0,3,2,7,0,19,4,0,0,0,4,5,30,42,2,TRUE
11,1,1,0,3,2,2,1,18,3,0,0,0,3,5,24,22,2,TRUE
90,0,0,0,2,1,0,0,10,0,0,0,85,0,34,163,261,4,TRUE
493,2,28,97,2,2,33,1,45,43,1,0,7,43,114,1582,2188,3,TRUE
400,2,16,93,3,2,20,0,86,41,8,0,0,41,77,1227,1540,4,TRUE
1589,3,18,97,2,3,63,0,98,93,23,3,11,96,229,6116,8139,8,TRUE
36,4,6,0,2,1,8,0,7,2,1,0,0,2,4,22,23,2,TRUE
25,1,3,50,2,1,7,3,15,4,1,0,0,4,18,122,102,2,TRUE
157,4,19,88,1,1,27,0,9,8,1,1,1,9,32,1031,832,4,TRUE
390,3,12,90,1,6,45,0,30,29,8,1,1,30,27,204,548,5,TRUE
51,14,14,0,2,1,9,0,7,1,0,0,2,1,5,7,31,2,TRUE
216,1,4,82,1,1,14,0,7,0,0,7,12,7,108,703,820,3,TRUE
191,0,0,0,2,1,0,0,10,0,0,0,186,0,40,203,401,3,TRUE
645,2,12,95,3,2,74,0,91,15,9,33,5,48,322,5218,5267,3,TRUE
113,2,4,0,2,1,15,0,7,2,0,3,0,5,57,108,204,3,TRUE
144,0,0,0,0,0,4,0,0,0,0,0,142,0,107,667,1054,5,TRUE
181,2,10,78,3,2,40,0,67,14,8,0,2,14,16,123,149,2,TRUE
269,2,6,71,3,1,34,0,62,9,5,0,0,9,4,29,61,5,TRUE
35,1,1,100,2,1,0,0,11,1,0,0,28,1,5,1,13,4,TRUE
849,2,12,96,5,4,89,1,206,82,20,2,16,84,214,4323,4244,2,TRUE
909,3,12,92,2,1,55,0,75,55,22,0,0,55,106,1613,1836,3,TRUE
258,2,6,95,1,3,21,0,30,30,11,0,0,30,41,194,525,3,TRUE
136,5,7,50,1,2,27,0,4,4,1,0,0,4,13,246,240,2,TRUE
45,0,0,0,0,0,1,1,0,0,0,0,43,0,55,244,430,3,TRUE
312,3,8,81,4,1,38,0,85,17,9,0,0,17,18,178,199,4,TRUE
241,1,3,0,1,1,22,0,24,0,0,24,0,24,4,5,40,2,TRUE
903,2,15,95,1,3,35,1,68,68,12,0,8,68,38,1357,1944,7,TRUE
38,2,3,41,1,1,8,0,3,3,4,0,0,3,4,36,34,4,TRUE
389,3,15,96,2,2,23,1,95,27,0,0,1,27,40,775,984,6,TRUE
185,2,5,83,5,1,28,0,46,15,7,0,0,15,13,296,456,2,TRUE
37,1,3,0,1,1,13,0,9,0,0,9,0,9,6,45,36,5,TRUE
455,2,13,92,6,4,86,0,179,39,6,0,4,39,103,1779,2349,2,TRUE
302,3,7,88,3,1,26,0,54,23,3,0,4,23,8,160,417,4,TRUE
53,1,3,0,7,1,23,0,209,9,0,0,0,9,57,670,706,3,TRUE
492,1,10,92,6,9,82,0,182,41,7,1,13,42,220,4383,4579,2,TRUE
788,2,18,93,2,2,47,0,72,47,9,0,1,47,58,1537,1707,5,TRUE
540,2,8,89,2,3,79,0,35,24,13,0,12,24,12,97,247,5,TRUE
81,2,6,44,1,1,17,0,9,9,3,0,0,9,5,97,100,2,TRUE
578,1,8,96,6,8,88,3,200,60,16,0,8,60,221,4525,4450,8,TRUE
47,3,6,0,1,2,10,0,2,2,2,0,0,2,7,12,57,3,TRUE
159,3,8,85,1,2,20,0,8,8,5,0,0,8,14,134,192,7,TRUE
124,4,13,33,4,2,21,0,59,7,3,0,0,7,15,131,249,3,TRUE
246,1,10,0,1,1,58,0,39,0,0,39,0,39,119,1159,1772,3,TRUE
169,0,0,0,0,0,1,0,0,0,0,0,167,0,190,1393,2160,7,TRUE
4,1,1,0,0,0,2,10,2,2,0,0,0,2,7,19,7,1,TRUE
12,1,1,100,3,1,1,0,7,1,0,0,7,1,18,99,148,1,TRUE
20,1,1,0,2,2,3,1,51,18,0,0,0,18,37,380,440,2,TRUE
43,1,1,100,0,0,15,1,36,36,0,0,5,36,77,857,1220,2,TRUE
5,1,1,0,0,0,0,1,3,3,0,0,0,3,9,12,26,1,TRUE
54,1,2,77,3,1,8,0,22,11,3,0,1,11,15,81,88,1,TRUE
40,1,3,87,4,1,8,0,25,8,0,0,1,8,15,36,44,1,TRUE
4,1,1,100,1,1,1,1,2,1,0,0,1,1,11,16,34,1,TRUE
124,1,3,0,1,2,9,2,11,11,0,0,0,11,9,125,235,2,TRUE
11,1,1,0,3,2,2,0,18,3,0,0,0,3,5,24,28,2,TRUE
11,1,1,0,3,2,2,0,20,3,0,0,0,3,5,24,28,2,TRUE
11,1,1,0,3,2,2,0,18,3,0,0,0,3,5,24,22,2,TRUE
51,0,0,0,0,0,0,0,0,0,0,0,49,0,14,73,273,2,TRUE
427,2,12,92,1,1,9,0,35,35,4,0,14,35,41,1154,1517,1,TRUE
159,0,0,0,2,1,0,0,10,0,0,0,155,0,46,377,569,2,TRUE
350,1,4,83,4,1,32,0,122,20,11,0,0,20,20,253,370,1,TRUE
27,2,4,0,7,1,11,0,71,3,0,0,0,3,8,99,147,1,TRUE
6,1,1,0,2,1,6,0,6,1,0,0,0,1,3,17,13,2,TRUE
25,1,2,66,1,3,11,0,6,6,2,0,0,6,2,7,41,2,TRUE
12,1,1,100,2,1,0,0,11,1,0,0,5,1,1,0,2,1,TRUE
114,4,5,0,3,1,12,0,20,2,0,0,0,2,6,43,98,1,TRUE
42,2,3,0,1,2,13,0,5,5,0,0,0,5,2,2,41,1,TRUE
24,6,6,0,2,1,8,0,7,1,0,0,1,1,2,8,7,2,TRUE
69,3,7,0,3,1,25,0,19,3,0,2,0,5,2,2,0,2,TRUE
163,2,6,77,1,2,18,0,11,10,3,1,1,11,15,144,220,2,TRUE
8,1,1,0,2,1,5,0,8,2,0,0,0,2,1,3,10,1,TRUE
220,2,6,64,1,5,21,0,14,14,2,0,1,14,3,105,18,2,TRUE
104,0,0,0,0,0,1,0,0,0,0,0,102,0,82,196,276,2,TRUE
187,3,9,83,1,1,36,0,12,12,5,0,0,12,17,265,301,2,TRUE
13,1,1,0,2,1,8,0,26,3,0,0,0,3,1,3,3,1,TRUE
723,3,14,95,1,3,53,0,50,46,7,4,1,50,112,1677,1934,1,TRUE
166,0,0,0,2,1,0,0,10,0,0,0,161,0,71,203,375,2,TRUE
187,1,5,89,6,2,41,0,165,25,11,0,0,25,52,404,649,2,TRUE
172,3,19,76,7,1,16,0,340,13,2,0,0,13,14,54,163,2,TRUE
209,3,7,73,3,2,31,0,70,5,6,0,0,5,9,28,39,2,TRUE
419,3,11,78,3,3,51,0,80,15,7,0,4,15,10,48,45,1,TRUE
265,2,15,88,1,4,48,0,26,24,3,2,1,26,18,62,81,1,TRUE
106,2,10,63,3,2,7,0,35,11,3,0,0,11,15,282,303,2,TRUE
69,2,5,75,3,2,6,0,32,8,2,0,0,8,14,231,236,2,TRUE
179,3,22,84,2,2,12,0,19,14,12,0,5,14,22,296,346,1,TRUE
134,2,11,80,1,2,10,2,14,14,3,0,5,14,5,144,247,2,TRUE
101,1,3,90,2,2,8,3,24,19,10,0,0,19,13,186,319,2,TRUE
172,4,15,78,2,1,28,0,34,11,1,0,2,11,5,72,87,2,TRUE
71,3,9,19,3,1,18,1,29,5,1,0,0,5,31,277,371,1,TRUE
162,3,12,69,1,3,14,0,13,13,4,0,0,13,15,61,105,1,TRUE
266,3,13,78,2,4,21,0,29,18,2,2,1,20,24,432,698,2,TRUE
6,1,1,0,1,1,1,1,13,4,0,0,0,4,3,4,13,1,TRUE
240,2,6,90,1,8,29,1,25,25,13,0,2,25,22,299,216,2,TRUE
551,2,7,92,4,2,50,0,80,30,20,0,11,30,45,1476,1110,2,TRUE
143,2,6,85,1,1,15,0,10,0,0,10,2,10,22,71,241,2,TRUE
43,2,3,25,1,2,7,0,4,4,1,0,0,4,4,22,45,1,TRUE
418,2,8,84,4,1,32,0,125,23,17,0,0,23,13,538,619,1,TRUE
53,1,2,69,1,2,6,1,11,11,3,0,0,11,2,7,24,1,TRUE
24,1,1,100,2,1,0,0,11,1,0,0,17,1,4,3,7,2,TRUE
206,2,10,83,4,5,21,0,65,13,8,0,0,13,17,76,108,1,TRUE
4,1,1,0,0,0,1,0,2,2,0,0,0,2,2,2,2,2,TRUE
5,1,1,0,3,1,4,0,16,1,0,0,0,1,6,5,6,1,TRUE
8,1,1,0,2,1,2,0,11,2,0,0,0,2,15,64,67,1,TRUE
106,1,5,73,1,4,23,0,9,9,5,0,0,9,25,134,182,2,TRUE
38,1,2,72,2,3,3,0,11,9,2,0,0,9,3,6,25,1,TRUE
603,2,11,91,2,1,49,0,63,35,17,1,1,36,101,1995,2179,2,TRUE
84,3,11,60,1,2,21,0,6,6,5,0,0,6,27,114,147,1,TRUE
436,2,7,88,2,1,41,1,48,21,8,0,4,21,69,582,976,2,TRUE
