%%-*- text -*-
%
%  -- Topic: This is the defect prediction data for Eclipse 3.4 SWT, which
%            includes size, complexity, object-oriented metrics, and change metric data.
% 
%  -- Date:  June 2010

@relation 'eclipse34_swt'

@attribute LOC numeric
@attribute AverageComplexity numeric
@attribute MaximumComplexity numeric
@attribute LCOM numeric
@attribute DIT numeric
@attribute IFANIN numeric
@attribute CBO numeric
@attribute NOC numeric
@attribute RFC numeric
@attribute NIM numeric
@attribute NIV numeric
@attribute NCM numeric
@attribute NCV numeric
@attribute WMC numeric
@attribute change_times numeric
@attribute plus numeric
@attribute minus numeric
@attribute isDefective {TRUE,FALSE}

@data

241,1,3,0,1,1,22,0,24,0,0,24,0,24,4,5,40,TRUE
209,1,3,0,1,1,21,0,23,0,0,23,0,23,2,3,50,TRUE
172,2,7,93,1,1,39,0,16,0,0,16,1,16,25,281,564,TRUE
117,1,1,71,1,1,8,0,7,7,4,0,0,7,7,25,92,TRUE
70,1,3,87,1,1,5,0,8,1,0,7,1,8,7,164,145,TRUE
51,1,2,62,5,1,6,0,43,8,3,0,0,8,2,2,3,TRUE
36,1,2,71,6,1,4,0,52,7,1,0,0,7,2,1,1,TRUE
33,1,2,66,6,1,3,0,51,6,1,0,0,6,2,1,1,TRUE
137,1,3,70,5,1,11,0,45,10,10,0,0,10,1,0,0,TRUE
63,2,5,55,5,1,5,0,40,5,4,0,0,5,2,1,1,TRUE
36,1,2,71,6,1,4,0,52,7,1,0,0,7,2,1,1,TRUE
116,2,7,67,1,1,13,2,11,11,5,0,0,11,8,43,93,TRUE
261,1,3,0,1,1,25,0,26,0,0,26,0,26,23,546,659,TRUE
2079,7,60,90,4,1,54,0,144,89,15,1,2,90,145,4298,5973,TRUE
637,14,36,82,5,1,42,0,26,0,0,7,4,7,167,1233,2137,TRUE
211,2,12,75,5,1,10,0,498,30,2,3,2,33,550,14141,20541,TRUE
158,3,12,66,1,1,15,0,9,9,3,0,0,9,36,579,688,TRUE
1363,6,50,95,6,1,43,0,138,22,38,0,81,22,42,698,1271,TRUE
2499,7,137,96,2,1,95,0,98,65,30,2,43,67,119,2639,2811,TRUE
578,6,12,89,5,1,56,0,74,12,6,6,7,18,105,819,973,TRUE
516,4,21,85,1,1,27,0,20,20,4,0,0,20,1,42,1,TRUE
1962,4,36,96,4,1,94,0,167,80,18,7,27,87,61,3402,3781,TRUE
337,2,6,94,1,1,10,4,31,30,8,1,3,31,8,50,202,TRUE
