name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
InterCafe,1,encje.Code,36,1,0,9,39,89,7,2,34,0.794117647,618,1,0,0,0.231481481,1,1,16,3,1.2222,0
InterCafe,1,interCafe.SocketClient,18,1,0,9,55,79,4,7,10,0.841911765,373,1,4,0,0.235294118,0,0,18.83333333,4,1.2778,0
InterCafe,1,encje.Staff,41,2,0,5,28,154,4,1,41,0.941520468,314,1,0,0.05,0.29,1,1,6.43902439,6,1.1905,0
InterCafe,1,interCafe.ClientConfiguration,31,6,0,12,97,401,8,7,12,0.917647059,1084,0.941176471,0,0.937093275,0.161290323,0,0,33.41935484,14,1.9355,0
InterCafe,1,interCafe.InterCafe,6,1,0,1,10,3,0,1,4,2,94,0,0,0,0.333333333,0,0,14.66666667,2,1,0
InterCafe,1,interCafe.PriceListDialog,14,6,0,6,52,51,5,5,1,0.79020979,454,1,1,0.969907407,0.357142857,0,0,30.64285714,3,1.5714,0
InterCafe,1,interCafe.FieldColors,2,1,0,1,4,1,1,0,1,1,22,0,0,0,1,0,0,9,0,0,0
InterCafe,1,encje.PriceList,9,1,0,3,19,28,2,1,9,0.925,84,1,0,0,0.444444444,0,0,7.777777778,1,0.8889,0
InterCafe,1,interCafe.ClientUnlock,14,6,0,9,91,69,5,8,4,0.857142857,674,1,4,0.969907407,0.3,0,0,46.64285714,9,2.4286,0
InterCafe,1,interCafe.UserManagment,9,1,0,9,45,0,6,3,8,0.5625,264,1,0,0,0.518518519,0,0,28.11111111,2,1.1111,2
InterCafe,1,encje.Human,4,1,4,2,8,1,2,0,4,2,144,0,0,0,0.5,0,0,35,4,2,0
InterCafe,1,interCafe.SessionTimerDialog,17,6,0,2,52,98,2,0,17,0.854166667,275,1,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,0
InterCafe,1,interCafe.SocketServer,10,1,0,9,24,21,8,3,3,0.851851852,151,1,0,0,0.333333333,0,0,13.2,1,0.8,0
InterCafe,1,interCafe.Message,24,1,0,12,13,40,12,0,24,0.878787879,172,1,0,0,0.75,0,0,5.916666667,1,0.8333,0
InterCafe,1,interCafe.PasswordDialog,17,6,0,4,45,94,3,3,4,0.875,396,1,0,0.963218391,0.308823529,0,0,21.52941176,2,1.2941,0
InterCafe,1,interCafe.StaffLoginDialog,9,6,0,4,40,20,4,3,3,0.767857143,258,1,0,0.981264637,0.555555556,1,1,26.88888889,2,1.3333,0
InterCafe,1,interCafe.DetectComputersDialog,40,6,0,11,124,648,8,7,4,0.912087912,834,1,0,0.916849015,0.166666667,0,0,19.325,8,1.45,0
InterCafe,1,interCafe.SessionManagement,28,1,0,15,84,48,10,14,8,0.768382353,839,0.294117647,6,0,0.178571429,0,0,28.35714286,6,1.6154,1
InterCafe,1,interCafe.MainWindow,101,6,0,25,231,4776,17,23,5,0.973375,3211,0.9875,2,0.813559322,0.109,1,1,30,8,1.6832,3
InterCafe,1,interCafe.ClientConnection,5,1,0,1,10,10,1,0,5,1,42,1,0,0,0.9,0,0,6.6,1,0.8,0
InterCafe,1,interCafe.SessionTimer,8,2,0,7,30,0,3,6,5,0.595238095,170,1,6,0.87037037,0.25,1,1,19.5,3,1.375,0
InterCafe,1,ogolne.StaticEntityManagerFactory,4,1,0,9,4,1,9,0,2,1,20,0,0,0,1,0,0,3.75,0,0,0
InterCafe,1,encje.Users,53,2,0,14,42,274,11,3,52,0.907407407,460,1,0,0.037037037,0.261904762,1,1,7.452830189,3,1,1
InterCafe,1,interCafe.Logowanie,3,1,0,3,26,1,0,3,2,0.833333333,197,1,0,0,0.666666667,0,0,63.66666667,8,4,0
InterCafe,1,encje.Computer,10,1,0,2,16,0,2,0,10,0.740740741,99,1,0,0,0.5,1,1,8.6,6,1.3,0
InterCafe,1,interCafe.ClientNotification,2,1,0,3,7,1,0,3,2,2,27,0,0,0,0.5,0,0,12.5,3,1.5,0
InterCafe,1,interCafe.Functions,4,1,0,1,8,1,1,0,4,2,46,0,0,0,0.5,0,0,10.5,1,0.5,0
