name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
pBeans,1,net.sourceforge.pbeans.data.GenericDatabase,2,2,0,3,7,1,1,2,1,2,33,0,0,0.981132075,0.6,1,1,15.5,1,0.5,1
pBeans,1,net.sourceforge.pbeans.data.DefaultDatabaseFactory,4,1,0,7,21,0,1,6,4,0.333333333,96,1,0,0,0.583333333,0,0,22.5,1,0.75,2
pBeans,1,net.sourceforge.pbeans.PersistentMapEntry_StoreInfo,2,2,0,2,4,1,0,2,2,2,25,0,0,0.944444444,1,0,0,11.5,1,0.5,1
pBeans,1,net.sourceforge.pbeans.data.DatabaseFactory,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
pBeans,1,net.sourceforge.pbeans.data.ResultsIterator,1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
pBeans,1,net.sourceforge.pbeans.data.Database,8,1,0,7,8,28,5,2,8,2,8,0,0,0,0.339285714,0,0,0,1,1,1
pBeans,1,net.sourceforge.pbeans.data.FieldDescriptor,6,1,0,8,7,9,8,0,6,0.4,43,1,0,0,0.433333333,0,0,5.666666667,1,0.5,1
pBeans,1,net.sourceforge.pbeans.data.AbstractDatabase,27,1,3,13,122,283,7,9,11,0.880769231,1394,1,1,0,0.190883191,0,0,50.25925926,2,1.037,4
pBeans,1,net.sourceforge.pbeans.data.ConnectionPool,8,1,0,2,24,0,2,1,4,0.642857143,235,1,0,0,0.375,0,0,27.625,1,0.875,1
pBeans,1,net.sourceforge.pbeans.Index,7,1,0,4,15,5,4,0,7,0.25,97,1,0,0,0.371428571,1,1,12.57142857,4,1.1429,1
pBeans,1,net.sourceforge.pbeans.DuplicateEntryException,3,4,0,3,6,3,2,1,3,2,18,0,0,1,0.777777778,0,0,5,0,0,0
pBeans,1,net.sourceforge.pbeans.StoreInfo,6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,1
pBeans,1,net.sourceforge.pbeans.DefaultStoreInfo,1,2,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,2
pBeans,1,net.sourceforge.pbeans.PersistentMapEntry,7,1,0,2,8,15,1,2,6,0.833333333,34,1,2,0,0.357142857,0,0,3.428571429,1,0.8571,2
pBeans,1,net.sourceforge.pbeans.Store,74,1,0,18,185,2517,6,16,21,0.894216134,2390,1,2,0,0.152296535,0,0,31.05405405,5,1.2297,4
pBeans,1,net.sourceforge.pbeans.PersistentMap,7,1,0,5,24,9,3,4,7,0,202,1,1,0,0.428571429,0,0,27.71428571,1,0.8571,2
pBeans,1,net.sourceforge.pbeans.util.BeanMapper,3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,0
pBeans,1,net.sourceforge.pbeans.StoreException,3,3,1,7,6,3,7,0,3,2,18,0,0,1,0.777777778,0,0,5,0,0,0
pBeans,1,net.sourceforge.pbeans.data.SQLServerDatabase,4,2,0,3,13,6,1,2,2,2,62,0,0,0.945454545,0.357142857,0,0,14.5,3,1.5,2
pBeans,1,net.sourceforge.pbeans.data.IndexDescriptor,9,1,0,2,15,10,2,0,9,0.416666667,106,1,0,0,0.4,1,1,10.44444444,5,1.1111,1
pBeans,1,net.sourceforge.pbeans.data.GenericDataSource,12,1,0,0,25,48,0,0,12,0.787878788,159,1,0,0,0.333333333,0,0,12,1,0.8333,1
pBeans,1,net.sourceforge.pbeans.data.MySQLDatabase,4,2,0,3,13,6,1,2,2,2,73,0,0,0.945454545,0.458333333,0,0,17.25,2,1,3
pBeans,1,net.sourceforge.pbeans.AbstractStoreInfo,7,1,3,9,39,13,3,6,6,0.75,446,1,0,0,0.404761905,0,0,62.42857143,27,5.1429,4
pBeans,1,net.sourceforge.pbeans.ObjectClass,6,1,0,3,7,3,2,1,6,0.6,34,1,0,0,0.555555556,0,0,4.333333333,1,0.6667,0
pBeans,1,net.sourceforge.pbeans.PersistentMap_StoreInfo,2,2,0,4,4,1,0,4,2,2,11,0,0,0.944444444,0.75,0,0,4.5,1,0.5,1
pBeans,1,net.sourceforge.pbeans.Persistent,0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1
