name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
Serapion,1,serapion.FrontController,3,1,0,5,13,3,0,5,2,1,40,0,0,0,0.5,0,0,12,1,0.3333,0
Serapion,1,serapion.base.ValidateException,4,3,0,24,15,0,24,0,4,0,63,1,0,0.8125,0.75,0,0,14.5,2,1.25,0
Serapion,1,serapion.MainManager,7,2,0,6,25,21,1,5,7,2,104,0,0,0,0.571428571,0,0,13.85714286,1,0.8571,1
Serapion,1,serapion.EdytujKontrahentView,5,8,0,6,29,4,1,5,5,0.875,133,0.5,1,0.993478261,0.6,2,4,25.2,1,0.6,0
Serapion,1,serapion.NoweZespolenieView,9,7,0,7,73,12,4,5,4,0.775735294,1375,0.735294118,0,0.9844098,0.34375,1,1,148,17,3.3333,1
Serapion,1,serapion.NowaGrupaView,6,7,0,5,43,11,2,4,3,0.771428571,289,0.857142857,0,0.988814318,0.444444444,1,1,46,1,0.8333,0
Serapion,1,serapion.dao.SzybaDAO,4,2,0,7,25,6,1,6,4,2,123,0,0,0.625,0.75,0,0,29.75,1,0.75,0
Serapion,1,serapion.NowyCennikController,4,2,0,5,26,0,1,4,4,0.333333333,117,0,1,0.5,1,0,0,28,1,0.75,0
Serapion,1,serapion.NowyKontrahentView,16,7,1,5,93,72,2,3,15,0.911666667,1400,0.725,0,0.967177243,0.53125,1,1,84,1,0.9375,3
Serapion,1,serapion.CenyTableModel,2,3,0,1,3,1,1,0,1,2,12,0,0,0.978723404,0.75,0,0,5,2,1,0
Serapion,1,serapion.NowyKontrahentController,3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.33333333,1,0.6667,0
Serapion,1,serapion.NowyCennikManager,3,1,0,7,21,3,1,6,3,2,68,0,0,0,0.555555556,0,0,21.66666667,1,0.6667,0
Serapion,1,serapion.dao.ZespolenieDAO,5,2,0,8,24,10,2,6,5,2,136,0,0,0.555555556,0.4,0,0,26.2,1,0.8,0
Serapion,1,serapion.base.BaseView,11,6,6,16,18,53,16,1,11,0.9,73,0,1,0.977375566,0.363636364,0,0,5.545454545,2,1,0
Serapion,1,serapion.base.BaseController,4,1,7,16,20,4,16,1,4,0.333333333,82,1,1,0,0.4375,0,0,19.25,2,1,0
Serapion,1,serapion.dao.KontrahentDAO,9,2,0,9,30,36,3,6,9,2,247,0,0,0.384615385,0.355555556,0,0,26.44444444,1,0.8889,0
Serapion,1,serapion.PopulateTable,3,1,0,10,12,0,1,9,3,0.5,61,1,0,0,0.666666667,0,0,18,1,0.6667,0
Serapion,1,serapion.NoweZespolenieController,5,2,0,7,38,0,2,7,5,0.5,245,0,1,0.428571429,1,0,0,47.8,7,2,0
Serapion,1,serapion.entity.Zespolenie,14,2,0,9,44,29,5,4,14,0.661538462,326,1,0,0.3125,0.25,0,0,21.92857143,3,1,1
Serapion,1,serapion.NowaGrupaManager,2,2,0,5,10,1,1,4,2,2,31,0,0,0,0.75,0,0,14.5,1,0.5,0
Serapion,1,serapion.NowyCennikView,5,7,0,6,69,0,1,5,4,0.75,604,0.647058824,1,0.99103139,1,1,1,116.4,2,1,0
Serapion,1,serapion.entity.Kontrahent,32,2,0,12,44,264,9,3,32,0.936827957,427,0.541666667,0,0.151515152,0.255208333,0,0,11.59375,1,0.875,8
Serapion,1,serapion.entity.Szyba,14,2,0,7,29,21,5,2,14,0.824175824,274,0.571428571,0,0.294117647,0.271428571,0,0,18.07142857,2,1,0
Serapion,1,serapion.NowaSzybaController,3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.33333333,2,1,0
Serapion,1,serapion.NowaGrupaController,3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.33333333,1,0.6667,0
Serapion,1,serapion.entity.Grupa,10,2,0,9,15,39,7,2,10,0.861111111,68,0.75,0,0.384615385,0.28,0,0,5.4,1,0.8,2
Serapion,1,serapion.EdytujKontrahentController,3,2,0,7,29,0,1,6,3,0.5,123,0,1,0.6,1,0,0,39.66666667,1,0.6667,0
Serapion,1,serapion.NowyKontrahentManager,3,2,0,6,11,3,2,4,3,2,107,0,0,0,0.666666667,0,0,34.66666667,1,0.6667,0
Serapion,1,serapion.base.BaseEntity,6,1,6,7,11,15,6,1,1,2,93,0,0,0,0.791666667,0,0,14.5,5,3.5,1
Serapion,1,serapion.entity.PozycjaSzyby,6,1,0,2,7,3,1,1,6,0.6,34,1,1,0,0.555555556,0,0,4.333333333,1,0.6667,0
Serapion,1,serapion.dao.GrupaDAO,6,2,0,8,22,15,2,6,6,2,156,0,0,0.5,0.416666667,0,0,25,1,0.8333,0
Serapion,1,serapion.NowaSzybaManager,2,1,0,2,3,1,1,1,2,2,6,0,0,0,0.75,0,0,2,1,0.5,0
Serapion,1,serapion.MainController,12,2,0,17,53,12,7,15,12,0.454545455,414,0,1,0.214285714,1,0,0,33.41666667,3,1.25,2
Serapion,1,serapion.LoadData,2,1,0,1,5,1,0,1,2,2,13,0,0,0,0.5,0,0,5.5,1,0.5,0
Serapion,1,serapion.base.BaseDAO,7,1,5,11,20,9,5,6,2,0.388888889,75,1,0,0,0.666666667,0,0,9.285714286,2,0.8571,0
Serapion,1,serapion.base.HibernateUtil,3,1,0,4,15,1,2,2,2,0.75,65,0.5,0,0,0.5,0,0,20,1,0.3333,0
Serapion,1,serapion.base.BaseManager,1,1,5,5,2,0,5,0,1,2,4,0,0,0,1,0,0,3,0,0,0
Serapion,1,serapion.entity.Cennik,11,2,0,5,20,29,2,3,11,0.8,86,1,0,0.333333333,0.290909091,0,0,6.454545455,1,0.9091,0
Serapion,1,serapion.MainView,14,7,0,12,118,77,5,11,5,0.854166667,1779,0.916666667,2,0.971428571,0.285714286,0,0,122.6428571,4,1.2857,3
Serapion,1,serapion.NowaSzybaView,6,7,0,5,52,7,2,4,3,0.746666667,457,0.8,0,0.988814318,0.444444444,1,1,72.66666667,2,1.1667,0
Serapion,1,serapion.entity.PozycjaCennika,9,2,0,5,12,30,2,3,9,0.833333333,49,1,1,0.384615385,0.361111111,0,0,4.111111111,1,0.8889,0
Serapion,1,serapion.dao.CennikDAO,5,2,0,7,19,10,1,6,5,2,109,0,0,0.555555556,0.533333333,0,0,20.8,1,0.8,0
Serapion,1,serapion.NoweZespolenieManager,4,2,0,7,28,6,1,6,4,2,127,0,0,0,0.5,0,0,30.75,1,0.75,0
Serapion,1,serapion.EdytujKontrahentManager,2,2,0,5,7,1,1,4,2,2,20,0,0,0,0.75,0,0,9,1,0.5,0
Serapion,1,serapion.ContrahentTableModel,11,2,0,3,37,7,1,2,11,0.55,187,0.5,0,0.615384615,0.409090909,1,1,15.81818182,7,1.4545,0
