name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
SystemDataManagement,1,com.eka.inf.projekt.service.DocumentService,5,1,0,7,5,10,6,1,5,2,5,0,0,0,0.6,0,0,0,1,1,0
SystemDataManagement,1,com.eka.inf.projekt.service.impl.NewsServiceImpl,6,1,0,3,14,0,0,3,6,0.2,43,0,0,0,0.555555556,0,0,6,1,0.8333,0
SystemDataManagement,1,com.eka.inf.projekt.view.panel.UserPanel,43,5,0,7,86,683,2,6,1,0.906692407,1962,1,3,0.917485265,0.5,0,0,43.76744186,14,1.7209,3
SystemDataManagement,1,com.eka.inf.projekt.domain.Employee,26,1,0,16,30,301,14,3,26,0.95,154,1,3,0,0.208791209,0,0,4.461538462,2,1,0
SystemDataManagement,1,com.eka.inf.projekt.service.NewsService,4,1,0,8,4,6,7,1,4,2,4,0,0,0,0.875,0,0,0,1,1,0
SystemDataManagement,1,com.eka.inf.projekt.domain.Message,17,1,0,10,19,122,9,1,17,0.919642857,91,1,1,0,0.169934641,0,0,3.941176471,2,1,0
SystemDataManagement,1,com.eka.inf.projekt.view.panel.NewsPanel,5,5,0,10,43,0,3,9,2,0.5,489,1,1,0.993617021,0.44,0,0,94.8,6,1.8,0
SystemDataManagement,1,com.eka.inf.projekt.domain.Schedule,5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.466666667,0,0,3.4,1,0.8,0
SystemDataManagement,1,com.eka.inf.projekt.domain.TaskSchedule,5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.466666667,0,0,3.4,1,0.8,0
SystemDataManagement,1,com.eka.inf.projekt.view.panel.DocumentViewPanel,8,5,0,12,39,6,5,9,3,0.782312925,844,1,2,0.985232068,0.3125,0,0,101.875,2,1.25,0
SystemDataManagement,1,com.eka.inf.projekt.view.datamodels.ProjectComboModel,5,2,0,3,9,0,2,1,5,0.75,43,1,1,0.636363636,0.4,0,0,7,1,0.8,0
SystemDataManagement,1,com.eka.inf.projekt.enums.DocumentScopeEnum,4,2,0,5,7,4,5,0,2,0.888888889,57,0.333333333,3,0.846153846,0.444444444,1,1,12.5,1,0.5,0
SystemDataManagement,1,com.eka.inf.projekt.view.panel.MessageFilterPanel,7,5,0,1,22,9,1,0,1,0.783333333,454,1,0,0.987315011,1,0,0,62.42857143,2,1.5714,0
SystemDataManagement,1,com.eka.inf.projekt.service.impl.MessageServiceImpl,4,1,0,7,12,0,0,7,4,0.333333333,37,0,0,0,0.4375,0,0,8,1,0.75,0
SystemDataManagement,1,com.eka.inf.projekt.service.impl.EmployeeServiceImpl,5,1,0,7,15,0,0,7,5,0.25,51,0,0,0,0.4,0,0,9,3,1.2,0
SystemDataManagement,1,com.eka.inf.projekt.domain.Remind,7,1,0,1,8,15,1,1,7,0.833333333,34,1,1,0,0.357142857,0,0,3.428571429,1,0.8571,0
SystemDataManagement,1,com.eka.inf.projekt.domain.News,17,1,0,14,19,122,11,3,17,0.919642857,91,1,3,0,0.169934641,0,0,3.941176471,2,1,0
SystemDataManagement,1,com.eka.inf.projekt.view.panel.MessageManagementPanel,6,5,0,8,25,9,1,8,2,0.7,214,1,5,0.98940678,0.444444444,0,0,33.66666667,3,1.5,0
SystemDataManagement,1,com.eka.inf.projekt.service.impl.AddressServiceImpl,4,1,0,3,7,0,0,3,4,0.333333333,22,0,0,0,0.5,0,0,4.25,1,0.75,0
SystemDataManagement,1,com.eka.inf.projekt.view.panel.NewManagementPanel,6,5,0,5,19,1,2,4,1,0.666666667,197,1,2,0.98940678,0.361111111,0,0,30.83333333,5,1.8333,0
SystemDataManagement,1,com.eka.inf.projekt.ApplicationSession,10,1,0,21,12,0,13,8,9,0.611111111,69,1,1,0,0.5,0,0,5.7,2,1,0
SystemDataManagement,1,com.eka.inf.projekt.MainClass,2,1,0,4,10,1,0,4,2,2,28,0,0,0,0.5,0,0,13,1,0.5,0
SystemDataManagement,1,com.eka.inf.projekt.domain.Document,19,1,0,16,20,153,12,4,19,0.944444444,94,1,4,0,0.184210526,0,0,3.473684211,1,0.9474,0
