@relation ar5

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data 
82,26,9,0,47,55,12,91,132,67,223,937,0.10073,9.9273,9301.8545,0.31233,516.7697,20,10,20,4,1,10,0.21277,2.5,20,2,0.12195,0,false
16,6,2,1,8,13,6,18,20,19,38,111,0.24074,4.1538,461.0769,0.037,25.6154,2,1,1,0,0,2,0.25,0,1,0.5,0.125,1,false
31,12,3,2,16,18,9,31,42,27,73,240,0.12903,7.75,1860,0.08,103.3333,10,5,1,5,0,6,0.375,1,1,0.16667,0.19355,0,false
477,104,89,2,284,150,29,482,699,179,1181,6126,0.021462,46.5933,285430.76,2.042,15857.2644,236,118,4,116,25,93,0.32746,1.0172,4,0.043011,0.19497,0,true
11,2,0,0,9,10,4,15,17,14,32,84,0.33333,3,252,0.028,14,0,0,2,0,0,1,0.11111,0,2,2,0.090909,0,false
9,2,0,0,7,7,4,11,13,11,24,57,0.31818,3.1429,179.1429,0.019,9.9524,0,0,1,0,0,1,0.14286,0,1,1,0.11111,0,false
10,2,0,0,8,7,4,13,15,11,28,67,0.26923,3.7143,248.8571,0.022333,13.8254,0,0,2,0,0,1,0.125,0,2,2,0.1,0,false
5,0,0,0,5,5,3,5,9,8,14,29,0.66667,1.5,43.5,0.0096667,2.4167,0,0,3,0,0,1,0.2,0,3,3,0.2,0,false
28,5,1,0,22,18,12,49,53,30,102,346,0.061224,16.3333,5651.3333,0.11533,313.963,8,4,2,3,1,4,0.18182,1.3333,2,0.5,0.14286,1,false
26,6,0,0,20,16,11,41,44,27,85,280,0.070953,14.0938,3946.25,0.093333,219.2361,4,2,2,1,0,3,0.15,2,2,0.66667,0.11538,0,false
15,4,0,0,11,11,5,19,22,16,41,113,0.23158,4.3182,487.9545,0.037667,27.1086,0,0,7,0,0,1,0.090909,0,7,7,0.066667,1,false
22,4,1,0,17,17,9,25,36,26,61,198,0.15111,6.6176,1310.2941,0.066,72.7941,4,2,7,1,0,3,0.17647,2,7,2.3333,0.13636,2,false
10,4,0,0,6,9,6,24,23,15,47,127,0.125,8,1016,0.042333,56.4444,0,0,3,0,0,1,0.16667,0,3,3,0.1,2,false
23,5,1,0,17,15,10,43,58,25,101,325,0.069767,14.3333,4658.3333,0.10833,258.7963,16,8,4,8,4,5,0.29412,1,4,0.8,0.21739,1,false
86,22,8,3,56,31,11,76,113,42,189,706,0.074163,13.4839,9519.6129,0.23533,528.8674,24,12,3,11,4,9,0.16071,1.0909,3,0.33333,0.10465,0,false
115,17,1,1,97,35,16,154,204,51,358,1407,0.028409,35.2,49526.4,0.469,2751.4667,52,26,2,25,4,21,0.21649,1.04,2,0.095238,0.18261,0,false
150,43,5,1,102,79,16,184,229,95,413,1880,0.053668,18.6329,35029.8734,0.62667,1946.1041,48,24,13,21,7,18,0.17647,1.1429,13,0.72222,0.12,0,true
47,14,17,0,16,45,5,50,52,50,102,399,0.36,2.7778,1108.3333,0.133,61.5741,0,0,0,0,0,1,0.0625,0,0,0,0.021277,0,false
35,13,15,0,7,26,4,29,31,30,60,204,0.44828,2.2308,455.0769,0.068,25.2821,0,0,0,0,0,1,0.14286,0,0,0,0.028571,0,false
65,18,9,0,38,43,10,92,110,53,202,801,0.093478,10.6977,8568.8372,0.267,476.0465,20,10,14,10,0,11,0.28947,1,14,1.2727,0.16923,0,false
29,4,1,0,24,27,5,55,57,32,112,388,0.19636,5.0926,1975.9259,0.12933,109.7737,0,0,10,0,0,1,0.041667,0,10,10,0.034483,0,false
42,13,0,0,29,27,14,65,85,41,150,557,0.059341,16.8519,9386.4815,0.18567,521.4712,18,9,0,8,2,8,0.27586,1.125,0,0,0.19048,0,false
14,3,0,0,11,14,7,34,43,21,77,234,0.11765,8.5,1989,0.078,110.5,26,13,1,13,6,8,0.72727,1,1,0.125,0.57143,0,false
29,8,0,0,21,18,8,36,46,26,82,267,0.125,8,2136,0.089,118.6667,8,4,2,4,1,4,0.19048,1,2,0.5,0.13793,0,false
